epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4049,0.9993,4.95321,0.01643,0.00287,0.69081,0.12498,0.10092,0.76317,4.20451,0.01336,0.000329502,0.000329502,0.000329502
2,58.9621,0.9846,3.95578,0.0155,0.48949,0.23541,0.18757,0.14052,0.96715,2.72559,0.01767,0.000658461,0.000658461,0.000658461
3,82.5269,1.1069,3.46604,0.01689,0.58297,0.2302,0.29984,0.2419,0.92902,2.28979,0.01706,0.000983019,0.000983019,0.000983019
4,106.79,1.08278,3.13509,0.01634,0.47718,0.44715,0.35336,0.27851,0.88068,1.93079,0.01575,0.0009802,0.0009802,0.0009802
5,129.874,1.08028,2.90188,0.01757,0.44759,0.44651,0.41063,0.30693,1.04839,1.69533,0.0203,0.0009736,0.0009736,0.0009736
6,152.802,1.01495,2.61627,0.01621,0.70074,0.39858,0.47979,0.37934,0.93916,1.53118,0.01663,0.000967,0.000967,0.000967
7,176.496,1.06705,2.4486,0.01677,0.50359,0.43941,0.43922,0.34495,0.90293,1.62716,0.01562,0.0009604,0.0009604,0.0009604
8,199.472,1.08481,2.1908,0.01717,0.7625,0.43008,0.51792,0.42466,0.95492,1.32546,0.01745,0.0009538,0.0009538,0.0009538
9,224.367,1.04626,2.03668,0.01663,0.49007,0.47951,0.47469,0.36947,0.98023,1.32164,0.01809,0.0009472,0.0009472,0.0009472
10,247.976,1.00774,1.9784,0.01628,0.45669,0.59021,0.50163,0.36758,0.97319,1.36313,0.01783,0.0009406,0.0009406,0.0009406
11,270.937,1.01684,1.8877,0.01586,0.47717,0.54033,0.49861,0.38998,0.91941,1.25936,0.01703,0.000934,0.000934,0.000934
12,293.804,1.06711,1.85457,0.01683,0.65016,0.4371,0.55022,0.43764,0.91654,1.23728,0.01722,0.0009274,0.0009274,0.0009274
13,317.523,1.02607,1.75974,0.01656,0.65366,0.55285,0.59799,0.46376,0.90086,1.16738,0.01692,0.0009208,0.0009208,0.0009208
14,340.468,1.03133,1.62988,0.01603,0.59961,0.48373,0.56572,0.44045,0.92013,1.19221,0.01629,0.0009142,0.0009142,0.0009142
15,363.157,0.9762,1.5356,0.01599,0.57482,0.54364,0.62229,0.50209,0.87797,1.15382,0.01605,0.0009076,0.0009076,0.0009076
16,386.565,0.96541,1.53216,0.01505,0.63013,0.60153,0.62508,0.48828,0.92984,1.06949,0.01742,0.000901,0.000901,0.000901
17,409.437,1.00875,1.43961,0.01652,0.6108,0.69244,0.62464,0.49189,0.95165,1.11099,0.01794,0.0008944,0.0008944,0.0008944
18,432.365,0.95358,1.35159,0.01508,0.48585,0.62274,0.54293,0.42455,0.94216,1.09785,0.01686,0.0008878,0.0008878,0.0008878
19,455.557,1.01669,1.44078,0.01621,0.57026,0.68534,0.61517,0.46082,0.97029,1.03204,0.01711,0.0008812,0.0008812,0.0008812
20,478.676,0.98837,1.38473,0.0155,0.6444,0.58156,0.59665,0.48378,0.93127,1.06481,0.01607,0.0008746,0.0008746,0.0008746
21,502.017,0.9569,1.37085,0.01479,0.77069,0.58336,0.62615,0.45877,0.9488,1.11652,0.01748,0.000868,0.000868,0.000868
