epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.4746,2.31723,4.6807,0.01182,0.50689,0.4533,0.43745,0.20852,2.00958,2.71925,0.00883,0.000553903,0.000553903,0.000553903
2,179.316,2.13457,2.79253,0.01007,0.59389,0.52998,0.52286,0.24756,1.98856,1.74755,0.00877,0.00110225,0.00110225,0.00110225
3,260.979,2.09398,2.2124,0.00988,0.66861,0.55812,0.59643,0.2841,2.10813,1.62647,0.00927,0.00164325,0.00164325,0.00164325
4,341.697,2.1049,1.90152,0.00997,0.7144,0.5743,0.66968,0.33636,1.88772,1.36664,0.00794,0.00163399,0.00163399,0.00163399
5,423.891,2.07408,1.7704,0.00968,0.67283,0.62162,0.64623,0.32098,1.9874,1.36151,0.00859,0.00162299,0.00162299,0.00162299
6,506.361,2.08803,1.66702,0.00989,0.68059,0.58622,0.6571,0.32117,1.99648,1.42061,0.00848,0.00161199,0.00161199,0.00161199
7,588.611,2.07619,1.58202,0.00979,0.69183,0.65637,0.70958,0.36595,1.82603,1.23304,0.00774,0.00160099,0.00160099,0.00160099
8,671.038,2.05288,1.53564,0.00962,0.75262,0.59658,0.70619,0.33576,2.01484,1.29036,0.00844,0.00158998,0.00158998,0.00158998
9,754.329,2.04304,1.49465,0.00945,0.71323,0.56732,0.66684,0.35662,1.8301,1.31285,0.00747,0.00157898,0.00157898,0.00157898
10,835.652,2.00689,1.46191,0.00929,0.78247,0.66986,0.74872,0.4009,1.77565,1.1379,0.00754,0.00156798,0.00156798,0.00156798
11,916.853,2.01534,1.39983,0.00926,0.80158,0.60208,0.73712,0.38821,1.81167,1.16934,0.00745,0.00155698,0.00155698,0.00155698
12,999.358,1.9985,1.40355,0.00925,0.80576,0.6185,0.74809,0.35347,2.00719,1.15083,0.00834,0.00154598,0.00154598,0.00154598
13,1082.09,2.01058,1.3444,0.00936,0.84614,0.65726,0.76427,0.40705,1.76949,1.14112,0.00731,0.00153497,0.00153497,0.00153497
14,1163.54,1.97468,1.35401,0.00913,0.78983,0.67955,0.77665,0.37325,1.8846,1.14324,0.00808,0.00152397,0.00152397,0.00152397
15,1241.83,1.96968,1.31385,0.00916,0.77022,0.70195,0.75571,0.37945,1.91008,1.08758,0.00821,0.00151297,0.00151297,0.00151297
16,1319.57,1.96422,1.29631,0.0089,0.78096,0.67834,0.76727,0.37939,1.90466,1.05607,0.00825,0.00150197,0.00150197,0.00150197
17,1397.73,1.94759,1.29243,0.00898,0.77609,0.72918,0.80012,0.41764,1.809,1.03696,0.00741,0.00149096,0.00149096,0.00149096
18,1475.56,1.90599,1.24258,0.00887,0.80542,0.72381,0.82144,0.41912,1.83525,1.00956,0.0074,0.00147996,0.00147996,0.00147996
19,1553.49,1.95418,1.27673,0.00913,0.81551,0.70153,0.78115,0.42105,1.82984,1.0041,0.0075,0.00146896,0.00146896,0.00146896
20,1631.47,1.94151,1.22937,0.00897,0.8461,0.67078,0.8023,0.42718,1.79486,0.97111,0.00768,0.00145796,0.00145796,0.00145796
21,1710.39,1.90726,1.20276,0.00879,0.82724,0.68503,0.8045,0.41253,1.8576,1.0022,0.00753,0.00144696,0.00144696,0.00144696
22,1788.08,1.90706,1.19339,0.00874,0.84346,0.69323,0.78006,0.39542,1.91272,0.97396,0.0082,0.00143595,0.00143595,0.00143595
23,1865.88,1.89813,1.1265,0.00878,0.81533,0.71737,0.80059,0.42552,1.82255,0.91494,0.00759,0.00142495,0.00142495,0.00142495
24,1943.72,1.89302,1.09697,0.00872,0.76105,0.72338,0.79523,0.40311,1.91211,1.00724,0.00784,0.00141395,0.00141395,0.00141395
25,2021.76,1.90736,1.12062,0.00866,0.822,0.69871,0.79013,0.3746,1.96211,0.99361,0.00812,0.00140295,0.00140295,0.00140295
26,2099.96,1.90501,1.1274,0.00856,0.77492,0.70077,0.81256,0.37932,1.96135,0.9167,0.00791,0.00139195,0.00139195,0.00139195
27,2177.63,1.89474,1.1003,0.00852,0.77562,0.7358,0.79836,0.4284,1.86346,0.84975,0.00759,0.00138094,0.00138094,0.00138094
28,2255.54,1.85679,1.07664,0.00843,0.9561,0.676,0.84215,0.46099,1.7639,0.83653,0.00699,0.00136994,0.00136994,0.00136994
29,2333.09,1.84699,1.0198,0.00824,0.83108,0.72077,0.82794,0.4345,1.76563,0.87815,0.0074,0.00135894,0.00135894,0.00135894
30,2410.9,1.81763,1.01987,0.00811,0.85187,0.78799,0.85309,0.45833,1.79553,0.80141,0.00726,0.00134794,0.00134794,0.00134794
31,2488.34,1.82415,1.03604,0.00837,0.90598,0.74113,0.85474,0.45387,1.76437,0.86096,0.00712,0.00133693,0.00133693,0.00133693
32,2566.16,1.79531,1.02546,0.0081,0.84202,0.72859,0.83668,0.43511,1.8173,0.92029,0.00719,0.00132593,0.00132593,0.00132593
33,2644.74,1.79471,1.01809,0.00797,0.87737,0.73462,0.84137,0.44413,1.72348,0.91629,0.00708,0.00131493,0.00131493,0.00131493
34,2721.99,1.79722,1.02845,0.00814,0.83725,0.78987,0.85795,0.48228,1.66785,0.83553,0.0068,0.00130393,0.00130393,0.00130393
35,2799.64,1.78524,1.01734,0.00813,0.86002,0.71845,0.83425,0.4628,1.69989,0.8763,0.00674,0.00129293,0.00129293,0.00129293
36,2878.56,1.77526,0.94948,0.00782,0.82854,0.78284,0.84117,0.46506,1.73296,0.80206,0.00685,0.00128192,0.00128192,0.00128192
37,2956.95,1.76794,0.94804,0.00789,0.88186,0.7472,0.85972,0.47199,1.73123,0.83256,0.00683,0.00127092,0.00127092,0.00127092
38,3034.96,1.74975,0.95665,0.0077,0.85591,0.78157,0.85767,0.48276,1.69197,0.80596,0.00693,0.00125992,0.00125992,0.00125992
39,3112.7,1.73729,0.94378,0.00764,0.92257,0.76157,0.89018,0.48353,1.72106,0.76888,0.0068,0.00124892,0.00124892,0.00124892
40,3190.99,1.76441,0.93952,0.00792,0.9075,0.70338,0.84595,0.43564,1.8898,0.83872,0.00742,0.00123791,0.00123791,0.00123791
41,3268.91,1.76027,0.94755,0.0079,0.90327,0.75621,0.86421,0.4778,1.73543,0.80298,0.00691,0.00122691,0.00122691,0.00122691
42,3346.52,1.73968,0.92258,0.00758,0.86225,0.76915,0.8527,0.48979,1.68994,0.78517,0.0067,0.00121591,0.00121591,0.00121591
43,3424.69,1.71646,0.91483,0.00785,0.8902,0.76239,0.85052,0.47175,1.76555,0.79216,0.00706,0.00120491,0.00120491,0.00120491
44,3501.98,1.75147,0.91662,0.00765,0.85875,0.78999,0.87729,0.46147,1.69121,0.77729,0.0068,0.00119391,0.00119391,0.00119391
45,3580.14,1.71773,0.90205,0.00775,0.83489,0.80506,0.86383,0.46977,1.69884,0.79741,0.00651,0.0011829,0.0011829,0.0011829
46,3657.59,1.70433,0.89389,0.00746,0.81428,0.80104,0.86811,0.46155,1.74933,0.78145,0.00698,0.0011719,0.0011719,0.0011719
47,3735.46,1.70373,0.86969,0.00765,0.88029,0.75526,0.86535,0.48077,1.68032,0.82112,0.00664,0.0011609,0.0011609,0.0011609
48,3813.56,1.69216,0.8379,0.00738,0.91322,0.73937,0.86458,0.45281,1.84871,0.77957,0.00723,0.0011499,0.0011499,0.0011499
49,3891.36,1.71961,0.88211,0.00766,0.82358,0.8214,0.8759,0.48585,1.70261,0.76645,0.00669,0.00113889,0.00113889,0.00113889
50,3968.73,1.68443,0.85456,0.0074,0.9245,0.76209,0.88966,0.5031,1.65829,0.74722,0.00667,0.00112789,0.00112789,0.00112789
51,4046.62,1.69286,0.85425,0.00723,0.8893,0.74546,0.84923,0.47291,1.68773,0.80339,0.00686,0.00111689,0.00111689,0.00111689
52,4123.71,1.68346,0.84228,0.00754,0.83857,0.77874,0.86145,0.48251,1.70123,0.7672,0.00668,0.00110589,0.00110589,0.00110589
53,4201.8,1.64882,0.83604,0.00716,0.88902,0.79294,0.8749,0.49953,1.66543,0.77563,0.00669,0.00109489,0.00109489,0.00109489
54,4279.52,1.6204,0.79202,0.00705,0.9021,0.80919,0.88168,0.49382,1.67211,0.74125,0.0067,0.00108388,0.00108388,0.00108388
55,4357.53,1.66235,0.83504,0.00709,0.86583,0.81221,0.89522,0.48851,1.64376,0.74944,0.00648,0.00107288,0.00107288,0.00107288
56,4435.15,1.68094,0.8447,0.0073,0.91855,0.77746,0.89892,0.4973,1.64975,0.74473,0.0065,0.00106188,0.00106188,0.00106188
57,4513.18,1.66335,0.832,0.00719,0.89042,0.81513,0.90111,0.50462,1.63352,0.71543,0.00657,0.00105088,0.00105088,0.00105088
58,4590.58,1.62163,0.79337,0.00711,0.95325,0.77332,0.90957,0.49291,1.73646,0.70092,0.00693,0.00103987,0.00103987,0.00103987
59,4669.18,1.62682,0.78949,0.00709,0.93001,0.7708,0.87415,0.49062,1.69033,0.78745,0.00671,0.00102887,0.00102887,0.00102887
