epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.158,1.09589,3.12711,0.0066,0.77319,0.7608,0.83519,0.62979,0.92728,1.41644,0.00641,0.000664783,0.000664783,0.000664783
2,245.948,1.13068,1.49357,0.00708,0.7843,0.78203,0.8239,0.59326,0.99561,0.76139,0.00714,0.00132266,0.00132266,0.00132266
3,341.978,1.18567,1.07746,0.00732,0.8282,0.80905,0.89192,0.65999,0.98749,0.63181,0.00704,0.00197174,0.00197174,0.00197174
4,436.707,1.15979,0.93131,0.00723,0.8621,0.82937,0.89336,0.64932,0.95945,0.62099,0.00694,0.0019604,0.0019604,0.0019604
5,532.218,1.12174,0.80177,0.00692,0.83934,0.85062,0.90287,0.66636,0.97182,0.57826,0.00692,0.0019472,0.0019472,0.0019472
6,625.918,1.10396,0.7528,0.00671,0.87455,0.83376,0.9259,0.7253,0.89062,0.50158,0.00617,0.001934,0.001934,0.001934
7,721.692,1.09359,0.68193,0.00671,0.87613,0.87437,0.92571,0.68163,0.9622,0.49366,0.00701,0.0019208,0.0019208,0.0019208
8,817.52,1.09619,0.68568,0.00678,0.87504,0.8516,0.93005,0.71846,0.91303,0.52845,0.00653,0.0019076,0.0019076,0.0019076
9,911.786,1.11658,0.68616,0.00683,0.84013,0.89259,0.93236,0.71398,0.95576,0.49417,0.00699,0.0018944,0.0018944,0.0018944
10,1007.87,1.07198,0.61934,0.00647,0.88294,0.89446,0.94044,0.72774,0.89805,0.45964,0.0066,0.0018812,0.0018812,0.0018812
11,1102.84,1.06817,0.61283,0.00619,0.88367,0.87793,0.93733,0.72437,0.89111,0.44655,0.00612,0.001868,0.001868,0.001868
12,1198.9,1.05548,0.61268,0.00625,0.87762,0.86734,0.93538,0.72064,0.95235,0.46775,0.00679,0.0018548,0.0018548,0.0018548
13,1293.68,1.05599,0.60689,0.00636,0.89943,0.8898,0.94896,0.73051,0.92152,0.4535,0.00697,0.0018416,0.0018416,0.0018416
14,1388.28,1.04041,0.60418,0.00636,0.89092,0.87638,0.94656,0.74047,0.88285,0.43617,0.00601,0.0018284,0.0018284,0.0018284
15,1482.32,1.04599,0.56504,0.00646,0.86392,0.91759,0.94939,0.72343,0.92726,0.43097,0.0062,0.0018152,0.0018152,0.0018152
16,1576.6,1.03435,0.56181,0.00599,0.89411,0.88844,0.95146,0.74487,0.8387,0.40335,0.00591,0.001802,0.001802,0.001802
17,1673.06,1.01354,0.56219,0.00611,0.87225,0.90553,0.939,0.71221,0.87807,0.47537,0.00604,0.0017888,0.0017888,0.0017888
18,1767.43,1.00674,0.56772,0.00613,0.92314,0.85829,0.95208,0.75542,0.83909,0.40175,0.00584,0.0017756,0.0017756,0.0017756
19,1863.05,1.00795,0.52788,0.00612,0.89385,0.88861,0.94956,0.73677,0.91208,0.43455,0.00643,0.0017624,0.0017624,0.0017624
20,1959.47,0.98746,0.51386,0.00594,0.89527,0.90207,0.95237,0.75243,0.86689,0.43456,0.00638,0.0017492,0.0017492,0.0017492
21,2055.5,1.01501,0.53364,0.00613,0.92025,0.89045,0.96181,0.75778,0.84885,0.37552,0.00579,0.001736,0.001736,0.001736
22,2149.73,0.96759,0.49844,0.00582,0.88858,0.92563,0.95616,0.76586,0.8067,0.38745,0.00546,0.0017228,0.0017228,0.0017228
23,2245.69,0.99392,0.52115,0.00576,0.89057,0.93166,0.964,0.76465,0.82808,0.37069,0.00554,0.0017096,0.0017096,0.0017096
24,2340.25,0.97897,0.50214,0.00582,0.89625,0.91164,0.95862,0.76295,0.83631,0.38632,0.00578,0.0016964,0.0016964,0.0016964
25,2434.66,0.98603,0.51342,0.0058,0.89581,0.90553,0.94495,0.73429,0.86709,0.41159,0.00598,0.0016832,0.0016832,0.0016832
26,2530.09,0.98329,0.51778,0.00598,0.92639,0.89347,0.95935,0.75051,0.8765,0.37838,0.006,0.00167,0.00167,0.00167
27,2624.12,0.97534,0.52885,0.00577,0.90026,0.89849,0.95542,0.75665,0.82497,0.39501,0.00575,0.0016568,0.0016568,0.0016568
