epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9146,1.36123,3.77445,0.00602,0.90915,0.13338,0.29813,0.21024,1.13241,2.7059,0.00563,0.000411765,0.000411765,0.000411765
2,70.9558,1.25157,2.53808,0.00552,0.57578,0.45668,0.46061,0.31915,1.15287,1.95951,0.00588,0.000822964,0.000822964,0.000822964
3,102.396,1.26664,2.10274,0.00567,0.66882,0.45514,0.51715,0.35636,1.17722,1.50179,0.00619,0.00122866,0.00122866,0.00122866
4,132.141,1.27808,1.82483,0.00549,0.73974,0.53342,0.57915,0.39455,1.1483,1.21111,0.00583,0.00122525,0.00122525,0.00122525
5,162.001,1.22792,1.66446,0.00547,0.74762,0.5524,0.60161,0.41428,1.20883,0.96736,0.00626,0.001217,0.001217,0.001217
6,192.101,1.22643,1.47339,0.00539,0.79639,0.54314,0.60932,0.43128,1.11607,0.83624,0.00569,0.00120875,0.00120875,0.00120875
7,221.786,1.20018,1.31368,0.00525,0.86651,0.49608,0.64486,0.46592,1.1463,0.8251,0.00577,0.0012005,0.0012005,0.0012005
8,251.555,1.19186,1.18615,0.00523,0.79562,0.49159,0.57388,0.40948,1.09774,0.79866,0.00552,0.00119225,0.00119225,0.00119225
9,281.386,1.18563,1.10201,0.00526,0.85334,0.54983,0.63464,0.45135,1.15735,0.73116,0.00607,0.001184,0.001184,0.001184
10,311.139,1.2079,1.05871,0.00527,0.85271,0.56453,0.66189,0.48135,1.09785,0.67536,0.00545,0.00117575,0.00117575,0.00117575
11,341.658,1.19048,0.9791,0.00525,0.85263,0.56786,0.69351,0.50151,1.11171,0.66838,0.00554,0.0011675,0.0011675,0.0011675
12,371.266,1.16453,0.92498,0.00522,0.50683,0.68042,0.67635,0.49642,1.09596,0.65009,0.00552,0.00115925,0.00115925,0.00115925
13,401.389,1.18129,0.90591,0.00522,0.56254,0.7672,0.71244,0.525,1.11632,0.62489,0.00575,0.001151,0.001151,0.001151
14,431.005,1.14585,0.84091,0.00514,0.5435,0.76437,0.70229,0.50865,1.13267,0.63684,0.00578,0.00114275,0.00114275,0.00114275
15,460.868,1.15322,0.82643,0.00504,0.7961,0.71919,0.76672,0.58052,1.068,0.61028,0.00536,0.0011345,0.0011345,0.0011345
16,490.74,1.14787,0.79669,0.00512,0.87493,0.66471,0.81248,0.57313,1.12907,0.58815,0.00569,0.00112625,0.00112625,0.00112625
